0.01,0.6113,0.001,206.14,0.0,2375.3,2375.3,0.01,2501.3,2501.4,0.0,9.1562,9.1562
5.0,0.8721,0.001,147.12,20.97,2361.3,2382.3,20.98,2489.6,2510.6,0.0761,8.9496,9.0257
10.0,1.2276,0.001,106.38,42.0,2347.2,2389.2,42.01,2477.7,2519.8,0.151,8.7498,8.9008
15.0,1.7051,0.001001,77.93,62.99,2333.1,2396.1,62.99,2465.9,2528.9,0.2245,8.5569,8.7814
20.0,2.339,0.001002,57.79,83.95,2319.0,2402.9,63.96,2454.1,2538.1,0.2966,8.3706,8.6672
25.0,3.169,0.001003,43.36,104.88,2304.9,2409.8,104.89,2442.3,2547.2,0.3674,8.1905,8.558
30.0,4.246,0.001004,32.89,125.78,2290.8,2416.6,125.79,2430.5,2556.3,0.4369,8.0164,8.4533
35.0,5.628,0.001006,25.22,146.67,2276.7,2423.4,146.68,2418.6,2565.3,0.5053,7.8478,8.3531
40.0,7.384,0.001008,19.52,167.56,2262.6,2430.1,167.57,2406.7,2574.3,0.5725,7.6845,8.257
45.0,9.593,0.00101,15.26,188.44,2248.4,2436.8,168.45,2394.8,2583.2,0.6387,7.5261,8.1648
50.0,12.349,0.001012,12.03,209.32,2234.2,2443.5,209.33,2382.7,2592.1,0.7038,7.3725,8.0763
55.0,15.758,0.001015,9.568,230.21,2219.9,2450.1,230.23,2370.7,2600.9,0.7679,7.2234,7.9913
60.0,19.94,0.001017,7.671,251.11,2205.5,2456.6,251.13,2358.5,2609.6,0.8312,7.0784,7.9096
65.0,25.03,0.00102,6.197,272.02,2191.1,2463.1,272.06,2346.2,2618.3,0.8935,6.9375,7.831
70.0,31.19,0.001023,5.042,292.95,2176.6,2469.6,292.98,2333.8,2626.8,0.9549,6.8004,7.7553
75.0,38.58,0.001026,4.131,313.9,2162.0,2475.9,313.93,2321.4,2635.3,1.0155,6.6669,7.6824
80.0,47.39,0.001029,3.407,334.86,2147.4,2482.2,334.91,2308.8,2643.7,1.0753,6.5359,7.6122
85.0,57.83,0.001033,2.828,355.84,2132.6,2488.4,355.9,2296.0,2661.9,1.1343,6.4102,7.5445
90.0,70.14,0.001036,2.361,376.85,2117.7,2494.5,376.92,2283.2,2660.1,1.1925,6.2566,7.4791
95.0,84.55,0.00104,1.982,397.88,2102.7,2500.6,397.96,2270.2,2668.1,1.25,6.1659,7.4169
100.0,101.35,0.001044,1.6729,418.94,2087.6,2506.5,419.04,2257.0,2676.1,1.3069,6.048,7.3649
105.0,120.82,0.001048,1.4194,440.02,2072.3,2512.4,440.15,2243.7,2683.8,1.363,5.9328,7.2958
110.0,143.27,0.001052,1.2102,461.14,2057.0,2518.1,461.3,2230.2,2691.5,1.4185,5.8202,7.2387
115.0,169.06,0.001056,1.0366,482.3,2041.4,2523.7,482.48,2216.5,2699.0,1.4734,5.71,7.1833
120.0,198.53,0.00106,0.8919,503.5,2025.8,2529.3,503.71,2202.6,2706.3,1.5276,5.602,7.1296
125.0,232.1,0.001065,0.7706,524.74,2009.9,2534.6,524.99,2188.5,2713.5,1.5813,5.4962,7.0775
130.0,270.1,0.00107,0.6685,546.02,1993.9,2539.9,546.31,2174.2,2720.5,1.6344,5.3925,7.0269
135.0,313.0,0.001075,0.5822,567.35,1977.7,2545.0,567.69,2159.6,2727.3,1.687,5.2907,6.9777
140.0,361.3,0.00108,0.5089,588.74,1961.3,2550.0,589.13,2144.7,2733.9,1.7391,5.1908,6.9299
145.0,415.4,0.001085,0.4463,610.18,1944.7,2554.9,610.63,2129.6,2740.3,1.7907,5.0926,6.8833
